,0
0,Wuhan has been in complete quarantine for over 8 weeks. People here are still going about their daily lives as no… 
1,"  You can no longer defend this.Make up any excuse or reasoning you want, it's intentional and it's racist."
2,  Everyone in this looks sick
3,  Good.It came from China.
4,  Corona day 3: it just feels like Sunday again and...again
5,"  Close up of President  notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…"
6,Pretty much any corona virus germ that wants to or has entered my body these passed hours are all being bodied by t… 
7,  China’s irresponsible and criminal behavior in the wake of COVID-19 will leave it in its weakest global position in mem…
8,  Pls RT. Dear  news &amp; press conferences around the country during this Corona Virus Emergency have  sign langua…
9,  Lets start a resource thread for loans and grants for small businesses affected by corona. We'll start: (PLEASE SHARE)…
10,"  There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…"
11,  Corona day 3: it just feels like Sunday again and...again
12,  #PTTEmekcileriRiskAltinda the corona is very dangerous so don't come to the post office
13," _aros: Mayorkun is somewhere in the studio singing ""Ramona, this your body dey killing person like Corona"""
14," But are these measures enough? I don't think so. 120 bed capacity,not good. How about the whole fac… "
15,"   Yes! And where the hell are these? Jack Ma donated 500,000 testing kits and 1 million masks.  #WhereAreTheMask…"
16,"  Among other things, what this shows is they're using the term ""the coronavirus"" internally like everyone else and are throwing…"
17,  They're trying to spur a culture war to distract from their own incompetence. So you don't notice them:firing professi…
18,  My dick is Bigger than Corona virusMy dick is Bigger than Corona virusMy dick is Bigger than Corona virusMy dick is…
19,  Me at my funeral when I hear Messi dropped a 6.2 rating on SofaScore  
20,  Everyone in this looks sick
21, _: 2 weeks? it’s a fucking global pandemic not a hamstring strain.
22,  There you have it.Proof that this is an intentional tactic. Trump et al are trying to bait us into fighting over his raci…
23,"  *Non-Corona content*: The Patriot missile, its overuse, and the Middle East.  Give yourself a break from pandemic cove…"
24,  This is Generation Z. I want to name that because folks love calling everybody 40 and under Millennials.Millennials…
25,  holy shit I hate every person in this video
26,"  #Corona: I cldn’t wind up the day, without visiting #RGGH to check d health progress of Covid19 Pts . Am glad to see t…"
27,"  If he wasn't so vain as to eschew wearing the glasses he OBVIOUSLY needs, the font wouldn't be so big, and we wouldn't h…"
28,  Holy shit. This is not fake news.
29,  The only man who can save us from corona virus 
30, _Men12: Somebody check on this mans cte
31,   I’ve been admiring how you are dealing with customers since this whole corona virus started. However today…
32,  Disgusting. But let’s clutch our pearls bc ’s riff on #bebest These ppl are actively killing Americans.
33,"  Photo of  briefing papers from today shows ""corona"" crossed out and ""Chinese"" written in his sharpie h…"
34,  this incompetent racist asshole
35,"My 87 year old stepmom was admitted to Memorial Hospital Belleville,Illinois last night with a fever and coughing a… "
36,I literally just said this lmaoooo 
37,  holy shit I hate every person in this video
38,  Day 5: We have rediscovered farming
39,  Day 5: We have rediscovered farming
40,"  We must bring Taiwan fully into the  now. To date, Taiwan has around 100 cases of #COVID2019 despite its proximity t…"
41," _Ind: Lakhs of daily wagers - domestic help, carpenters,cleaners, plumbers,spot boys on sets,etc will lose livelihood due to soc…"
42,"  “If I get corona, I get corona,” said one Ohio student on spring break in Florida. “At the end of the day, I’m not gon…"
43,  Kano State Emergency contacts in case of suspected Corona Virus Outbreak:Dr. Imam Wada Bello08050303343Dr Bashir La…
44,"  You can no longer defend this.Make up any excuse or reasoning you want, it's intentional and it's racist. …"
45,  This is Generation Z. I want to name that because folks love calling everybody 40 and under Millennials.Millennials…
46,  This is Generation Z. I want to name that because folks love calling everybody 40 and under Millennials.Millennials…
47,  BREAKING‼️‼️‼️a new symptom of the corona virus was just discovered. It’s called PJP which translates to Phat. Juicy. Pussy…
48, _solomon: This is repugnant
49,"  There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…"
50,A 34 year old from Pasadena is the first person to die from Corona after visiting  in Florida. Shame o… 
51,  Me &amp; My Niggas Walking In The Club After The Corona Epidemic End 
52, _erhnehst: Everything was fine in the world until Liverpool decided to take the premier league title 😩💔😂Kobe died😩World war 3Coro…
